Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
96.532, 61.451, -165.263, 316.097, 5.439, 0.005, 83.421, -24.257
96.836, 60.633, -163.701, 312.436, 5.435, 0.005, 83.622, -24.484
97.135, 59.822, -162.163, 307.580, 5.432, 0.005, 83.819, -24.709
97.430, 59.019, -160.655, 301.676, 5.429, 0.005, 84.013, -24.931
97.721, 58.223, -159.180, 294.887, 5.426, 0.005, 84.204, -25.151
98.008, 57.434, -157.744, 287.309, 5.423, 0.005, 84.392, -25.368
98.291, 56.653, -156.348, 279.102, 5.421, 0.005, 84.576, -25.583
98.571, 55.878, -154.996, 270.345, 5.418, 0.005, 84.758, -25.795
98.846, 55.109, -153.691, 261.160, 5.416, 0.005, 84.937, -26.005
99.118, 54.347, -152.432, 251.630, 5.415, 0.005, 85.112, -26.213
99.386, 53.591, -151.223, 241.845, 5.413, 0.005, 85.285, -26.417
99.650, 52.840, -150.064, 231.881, 5.411, 0.005, 85.455, -26.619
99.911, 52.096, -148.955, 221.811, 5.410, 0.005, 85.623, -26.819
100.167, 51.356, -147.896, 211.699, 5.409, 0.005, 85.788, -27.016
100.420, 50.622, -146.888, 201.609, 5.408, 0.005, 85.950, -27.210
100.670, 49.892, -145.930, 191.590, 5.408, 0.005, 86.110, -27.401
100.916, 49.167, -145.022, 181.699, 5.407, 0.005, 86.267, -27.590
101.158, 48.446, -144.162, 171.980, 5.407, 0.005, 86.422, -27.776
101.397, 47.729, -143.349, 162.477, 5.407, 0.005, 86.575, -27.960
101.632, 47.017, -142.583, 153.230, 5.407, 0.005, 86.726, -28.140
101.863, 46.307, -141.862, 144.277, 5.408, 0.005, 86.874, -28.318
102.091, 45.601, -141.184, 135.655, 5.408, 0.005, 87.020, -28.493
102.316, 44.899, -140.547, 127.395, 5.409, 0.005, 87.164, -28.665
102.537, 44.199, -139.949, 119.530, 5.410, 0.005, 87.306, -28.835
102.754, 43.502, -139.389, 112.089, 5.411, 0.005, 87.446, -29.001
102.968, 42.808, -138.863, 105.103, 5.412, 0.005, 87.583, -29.165
103.179, 42.116, -138.370, 98.598, 5.414, 0.005, 87.719, -29.326
103.386, 41.426, -137.907, 92.602, 5.415, 0.005, 87.853, -29.484
103.590, 40.739, -137.471, 87.141, 5.417, 0.005, 87.985, -29.640
103.790, 40.054, -137.060, 82.240, 5.419, 0.005, 88.115, -29.792
103.987, 39.370, -136.671, 77.925, 5.421, 0.005, 88.243, -29.942
104.180, 38.689, -136.299, 74.219, 5.424, 0.005, 88.369, -30.088
104.370, 38.009, -135.944, 71.148, 5.426, 0.005, 88.493, -30.232
104.557, 37.331, -135.600, 68.735, 5.429, 0.005, 88.615, -30.373
104.740, 36.655, -135.265, 67.008, 5.432, 0.005, 88.736, -30.511
104.920, 35.980, -134.935, 65.975, 5.435, 0.005, 88.855, -30.646
