SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 588.578692
IDLE, 0.0, 0.0, 0.0, 588.598386
IDLE, 0.0, 0.0, 0.0, 588.62576
IDLE, 0.0, 0.0, 0.0, 588.642511
IDLE, 0.0, 0.0, 0.0, 588.666243
IDLE, 0.0, 0.0, 0.0, 588.681659
IDLE, 0.0, 0.0, 0.0, 588.696063
IDLE, 0.0, 0.0, 0.0, 588.714202
IDLE, 0.0, 0.0, 0.0, 588.73713
IDLE, 0.0, 0.0, 0.0, 588.757689
IDLE, 0.0, 0.0, 0.0, 588.766186
IDLE, 0.0, 0.0, 0.0, 588.77349
IDLE, 0.0, 0.0, 0.0, 588.792081
IDLE, 0.0, 0.0, 0.0, 588.81772
IDLE, 0.0, 0.0, 0.0, 588.845392
IDLE, 0.0, 0.0, 0.0, 588.858609
IDLE, 0.0, 0.0, 0.0, 588.889568
IDLE, 0.0, 0.0, 0.0, 588.909383
IDLE, 0.0, 0.0, 0.0, 588.930983
IDLE, 0.0, 0.0, 0.0, 588.952121
IDLE, 0.0, 0.0, 0.0, 588.969151
IDLE, 0.0, 0.0, 0.0, 588.986403
IDLE, 0.0, 0.0, 0.0, 589.007798
IDLE, 0.0, 0.0, 0.0, 589.026496
IDLE, 0.0, 0.0, 0.0, 589.048729
IDLE, 0.0, 0.0, 0.0, 589.069386
IDLE, 0.0, 0.0, 0.0, 589.092518
IDLE, 0.0, 0.0, 0.0, 589.112587
IDLE, 0.0, 0.0, 0.0, 589.131123
IDLE, 0.0, 0.0, 0.0, 589.146224
IDLE, 0.0, 0.0, 0.0, 589.166914
IDLE, 0.0, 0.0, 0.0, 589.185263
IDLE, 0.0, 0.0, 0.0, 589.21086
IDLE, 0.0, 0.0, 0.0, 589.23358
IDLE, 0.0, 0.0, 0.0, 589.255307
IDLE, 0.0, 0.0, 0.0, 589.275275
IDLE, 0.0, 0.0, 0.0, 589.297741
IDLE, 0.0, 0.0, 0.0, 589.323761
IDLE, 0.0, 0.0, 0.0, 589.34889
IDLE, 0.0, 0.0, 0.0, 589.379604
IDLE, 0.0, 0.0, 0.0, 589.405198
IDLE, 0.0, 0.0, 0.0, 589.432107
IDLE, 0.0, 0.0, 0.0, 589.459668
IDLE, 0.0, 0.0, 0.0, 589.486072
IDLE, 0.0, 0.0, 0.0, 589.508194
IDLE, 0.0, 0.0, 0.0, 589.526817
IDLE, 0.0, 0.0, 0.0, 589.554133
IDLE, 0.0, 0.0, 0.0, 589.579978
IDLE, 0.0, 0.0, 0.0, 589.603075
IDLE, 0.0, 0.0, 0.0, 589.627149
IDLE, 0.0, 0.0, 0.0, 589.64893
IDLE, 0.0, 0.0, 0.0, 589.680152
IDLE, 0.0, 0.0, 0.0, 589.707471
IDLE, 0.0, 0.0, 0.0, 589.731638
IDLE, 0.0, 0.0, 0.0, 589.758173
IDLE, 0.0, 0.0, 0.0, 589.786731
IDLE, 0.0, 0.0, 0.0, 589.810385
IDLE, 0.0, 0.0, 0.0, 589.841172
IDLE, 0.0, 0.0, 0.0, 589.871133
IDLE, 0.0, 0.0, 0.0, 589.892969
